VIN (1-10),Country,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
3C3CFFGE1G,Yakima,Yakima,WA,98908,2016,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,14,180778377,POINT (-120.60199 46.59817),PACIFICORP,53077000401
WP0AB2Y16L,King,Auburn,WA,98092,2020,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,203,0,47,277717723,POINT (-122.18497 47.28825),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029602
5YJ3E1EB2J,King,Seattle,WA,98109,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,36,475865722,POINT (-122.35022 47.63824),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007002
5YJYGDEF5L,King,Seattle,WA,98125,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,46,108837249,POINT (-122.30253 47.72656),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000202
5YJXCBE22J,Thurston,Olympia,WA,98501,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,22,259851259,POINT (-122.89165 47.03954),PUGET SOUND ENERGY INC,53067010802
1G1FZ6S00L,Thurston,Olympia,WA,98506,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,22,255186389,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012100
5YJ3E1EA0N,Yakima,Moxee,WA,98936,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,211877725,POINT (-120.39197 46.55621),PACIFICORP,53077001702
5YJSA1E29J,Kitsap,Bainbridge Island,WA,98110,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,23,112582634,POINT (-122.521 47.62732),PUGET SOUND ENERGY INC,53035090902
JN1AZ0CPXB,Thurston,Olympia,WA,98512,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,35,144417262,POINT (-122.90787 46.9461),PUGET SOUND ENERGY INC,53067011810
KNDCM3LD1J,King,Seattle,WA,98103,2018,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,36,333286894,POINT (-122.35436 47.67596),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002900
1N4CZ1CV0S,Thurston,Tumwater,WA,98512,2025,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,280202765,POINT (-122.90787 46.9461),PUGET SOUND ENERGY INC,53067010910
5YJYGDEE3L,Kitsap,Poulsbo,WA,98370,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,23,109705683,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035091100
WA1F2AFY1R,Kitsap,Bainbridge Island,WA,98110,2024,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,23,0,23,269429793,POINT (-122.521 47.62732),PUGET SOUND ENERGY INC,53035090700
7SAYGAEE7R,Thurston,Olympia,WA,98502,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,265811318,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010520
5UXKT0C54J,Kitsap,Bainbridge Island,WA,98110,2018,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,13,0,23,179002876,POINT (-122.521 47.62732),PUGET SOUND ENERGY INC,53035090700
KNDCC3LG3K,Thurston,Olympia,WA,98513,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,2,259002390,POINT (-122.81754 46.98876),PUGET SOUND ENERGY INC,53067012320
1FADP5CUXF,Kitsap,Kingston,WA,98346,2015,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,23,252689629,POINT (-122.4977 47.79802),PUGET SOUND ENERGY INC,53035090102
5YJ3E1EA4J,King,Seattle,WA,98178,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,37,284075102,POINT (-122.23825 47.49461),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033011902
1G1RB6E46E,Thurston,Lacey,WA,98503,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,22,2211541,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,53067011200
5YJ3E1EB5L,King,Kirkland,WA,98034,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,45,8534760,POINT (-122.22901 47.72201),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021904
YV4BR00L0N,Snohomish,Monroe,WA,98272,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,39,276917441,POINT (-121.98087 47.8526),PUGET SOUND ENERGY INC,53061053802
5YJ3E1EA3J,Snohomish,Everett,WA,98208,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,44,346738318,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061041609
KNDCE3LG3L,King,Seattle,WA,98122,2020,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,37,113297257,POINT (-122.31009 47.60803),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007800
KMHE14L21H,Kitsap,Bremerton,WA,98312,2017,HYUNDAI,SONATA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,27,0,35,179470693,POINT (-122.65223 47.57192),PUGET SOUND ENERGY INC,53035080700
WBY2Z2C53F,Thurston,Yelm,WA,98597,2015,BMW,I8,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,2,154666788,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012421
KNDCR3LF6R,Thurston,Rainier,WA,98576,2024,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,2,261605466,POINT (-122.68993 46.88897),PUGET SOUND ENERGY INC,53067012530
WBY1Z6C33H,Kitsap,Kingston,WA,98346,2017,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,23,215241162,POINT (-122.4977 47.79802),PUGET SOUND ENERGY INC,53035940000
7PDSGCBA1R,Yakima,Yakima,WA,98908,2024,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,269419090,POINT (-120.60199 46.59817),PACIFICORP,53077002804
KNDRMDLH7R,Thurston,Rainier,WA,98576,2024,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,2,259188835,POINT (-122.68993 46.88897),PUGET SOUND ENERGY INC,53067012530
5UXTA6C07M,Snohomish,Mill Creek,WA,98012,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,44,151016288,POINT (-122.22038 47.8572),PUGET SOUND ENERGY INC,53061052008
5YJ3E1EC4L,Kitsap,Silverdale,WA,98383,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,0,23,7948713,POINT (-122.69275 47.65171),PUGET SOUND ENERGY INC,53035091205
1FADP5CU6F,Kitsap,Bremerton,WA,98337,2015,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,35,123064567,POINT (-122.62749 47.565),PUGET SOUND ENERGY INC,53035080600
YV4H60CN4P,Kitsap,Bremerton,WA,98310,2023,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,23,227462231,POINT (-122.61273 47.57428),PUGET SOUND ENERGY INC,53035080101
5YJ3E1EC0L,King,Seattle,WA,98101,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,0,43,276891219,POINT (-122.34223 47.61085),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008102
JTDKN3DP0D,Thurston,Olympia,WA,98502,2013,TOYOTA,PRIUS,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,0,22,150750330,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010600
1N4AZ0CP8D,Kitsap,Port Orchard,WA,98367,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,26,116014594,POINT (-122.70348 47.52028),PUGET SOUND ENERGY INC,53035092101
WA1VAAGEXK,Kitsap,Silverdale,WA,98383,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,0,23,272709076,POINT (-122.69275 47.65171),PUGET SOUND ENERGY INC,53035091302
1N4AZ0CP7F,King,Seattle,WA,98105,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,43,154970721,POINT (-122.31307 47.66127),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004500
1G1RB6E40D,Yakima,Yakima,WA,98908,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,14,183503197,POINT (-120.60199 46.59817),PACIFICORP,53077000800
3C3CFFGE5F,King,Bellevue,WA,98008,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,48,269066591,POINT (-122.11867 47.63131),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022901
1G1FZ6S02L,Kitsap,Bremerton,WA,98337,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,26,274627748,POINT (-122.62749 47.565),PUGET SOUND ENERGY INC,53035081200
3C3CFFGEXF,King,Renton,WA,98058,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,11,246460049,POINT (-122.08747 47.4466),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025803
5UX43EU08S,Yakima,Selah,WA,98942,2025,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,40,0,15,272616858,POINT (-120.53145 46.65405),PACIFICORP,53077003200
WA1VAAGE8K,Yakima,Yakima,WA,98903,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,204,0,14,101701064,POINT (-120.47533 46.55702),PACIFICORP,53077002801
1FADP5EU6H,Kitsap,Bremerton,WA,98312,2017,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,20,0,35,162945772,POINT (-122.65223 47.57192),PUGET SOUND ENERGY INC,53035080900
5YJ3E1EC1L,Kitsap,Bainbridge Island,WA,98110,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,0,23,195702293,POINT (-122.521 47.62732),PUGET SOUND ENERGY INC,53035090700
5UXTA6C06P,Snohomish,Edmonds,WA,98026,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,21,233718110,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050101
1N4AZ1CP6K,Snohomish,Mill Creek,WA,98012,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,44,299879149,POINT (-122.22038 47.8572),PUGET SOUND ENERGY INC,53061052008
KNAGV4LD8H,Snohomish,Mill Creek,WA,98012,2017,KIA,OPTIMA,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,29,0,44,241942410,POINT (-122.22038 47.8572),PUGET SOUND ENERGY INC,53061052005
5YJ3E1EB5J,King,Seattle,WA,98109,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,36,3379498,POINT (-122.35022 47.63824),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006703
1N4AZ1BPXL,Kitsap,Poulsbo,WA,98370,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,0,23,135267184,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035940100
ZACPDFDW4R,Thurston,Yelm,WA,98597,2024,DODGE,HORNET,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,2,270829282,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012412
JM3KJEHA0S,Thurston,Tenino,WA,98589,2025,MAZDA,CX-70,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,35,273986688,POINT (-122.85135 46.85752),PUGET SOUND ENERGY INC,53067012610
5YJ3E1EB6N,Thurston,Olympia,WA,98513,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,218171313,POINT (-122.81754 46.98876),PUGET SOUND ENERGY INC,53067012331
7FCTGAAP7T,Kitsap,Poulsbo,WA,98370,2026,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23,283581532,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090400
JTDKARFP4J,Yakima,Yakima,WA,98908,2018,TOYOTA,PRIUS PRIME (PHEV),Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,14,209534832,POINT (-120.60199 46.59817),PACIFICORP,53077002801
1C4JJXP68M,Snohomish,Lake Stevens,WA,98258,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,44,266556153,POINT (-122.06402 48.01497),PUGET SOUND ENERGY INC,53061052505
YV4H60CM0N,Snohomish,Everett,WA,98204,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,35,0,21,258217641,POINT (-122.27557 47.88936),PUGET SOUND ENERGY INC,53061041905
WAUTPBFF3G,King,Kenmore,WA,98028,2016,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,0,46,112050900,POINT (-122.24369 47.75892),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022102
JM3KKCHA5S,Kitsap,Poulsbo,WA,98370,2025,MAZDA,CX-90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,23,283456421,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090502
WBY1Z2C59E,Kitsap,Bremerton,WA,98337,2014,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,26,139923374,POINT (-122.62749 47.565),PUGET SOUND ENERGY INC,53035080500
5YJSA1E24F,Kitsap,Poulsbo,WA,98370,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,23,154560521,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035091100
WAUUPBFF5H,King,Bothell,WA,98011,2017,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,0,1,209924375,POINT (-122.20563 47.76144),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021804
1N4AZ0CP6E,Thurston,Olympia,WA,98512,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,22,118685458,POINT (-122.90787 46.9461),PUGET SOUND ENERGY INC,53067011000
WBY1Z6C59H,King,Seattle,WA,98144,2017,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,37,208920449,POINT (-122.30866 47.57874),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009500
1N4AZ0CP2D,King,Seattle,WA,98115,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,43,183845609,POINT (-122.31676 47.68156),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004401
1N4AZ0CP5D,Kitsap,Silverdale,WA,98383,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,23,221522255,POINT (-122.69275 47.65171),PUGET SOUND ENERGY INC,53035091205
5YJYGDEE7M,Yakima,Yakima,WA,98908,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,179071938,POINT (-120.60199 46.59817),PACIFICORP,53077002801
WA1F2AFY1M,Kitsap,Olalla,WA,98359,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,26,142069518,POINT (-122.54729 47.42602),PUGET SOUND ENERGY INC,53035092803
5YJ3E1EB0L,King,Issaquah,WA,98029,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,5,282126372,POINT (-122.00292 47.54748),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032220
5YJ3E1EB4K,King,Redmond,WA,98052,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,48,476692996,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022902
5YJ3E1EA5K,Thurston,Olympia,WA,98513,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,2,235106322,POINT (-122.81754 46.98876),PUGET SOUND ENERGY INC,53067012331
3C3CFFGEXH,Kitsap,Suquamish,WA,98392,2017,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,23,111733625,POINT (-122.55242 47.73162),PUGET SOUND ENERGY INC,53035940100
KNDRMDJH3S,Kitsap,Poulsbo,WA,98370,2025,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,23,269985194,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090502
5YJ3E1EB2K,Yakima,Yakima,WA,98908,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,14,478429570,POINT (-120.60199 46.59817),PACIFICORP,53077000903
7SAYGDEE6P,Snohomish,Bothell,WA,98021,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,286089877,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051926
5YJ3E1EB0J,King,Issaquah,WA,98027,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,5,151547567,POINT (-122.03439 47.5301),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032104
7SAYGDEE6P,Stevens,Colville,WA,99114,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,7,257725506,POINT (-117.90454 48.54657),AVISTA CORP,53065950500
WBY1Z4C57E,Snohomish,Bothell,WA,98012,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,44,214319381,POINT (-122.22038 47.8572),PUGET SOUND ENERGY INC,53061052007
JTDKN3DP6E,Kitsap,Port Orchard,WA,98367,2014,TOYOTA,PRIUS,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,0,35,232368321,POINT (-122.70348 47.52028),PUGET SOUND ENERGY INC,53035092901
5YJ3E1EB5J,Yakima,Yakima,WA,98908,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,14,271848468,POINT (-120.60199 46.59817),PACIFICORP,53077000902
5YJ3E1EA1J,King,Renton,WA,98059,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,11,203351739,POINT (-122.16548 47.53766),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025602
3MW5P9J03N,King,Seattle,WA,98122,2022,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,37,211867281,POINT (-122.31009 47.60803),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007800
KNDCC3LD1N,Kitsap,Bremerton,WA,98311,2022,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,23,192883897,POINT (-122.60915 47.62631),PUGET SOUND ENERGY INC,53035091701
1N4AZ1CP5K,Kitsap,Indianola,WA,98342,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,23,475960915,POINT (-122.51843 47.7487),PUGET SOUND ENERGY INC,53035940000
3C3CFFGE5H,King,Kent,WA,98031,2017,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,47,103439353,POINT (-122.17743 47.41185),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029405
5YJ3E1EA0J,Snohomish,Bothell,WA,98021,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,1,151804439,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051937
1G1FX6S03H,Snohomish,Bothell,WA,98021,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,1,349240860,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051937
1FT6W5L7XR,Thurston,Olympia,WA,98513,2024,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,2,272520797,POINT (-122.81754 46.98876),PUGET SOUND ENERGY INC,53067012331
5YJ3E1EB3J,Yakima,Yakima,WA,98901,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,15,186494717,POINT (-120.50729 46.60464),PACIFICORP,53077000200
5YJXCDE26J,Snohomish,Bothell,WA,98021,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,1,109898680,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051938
WBY1Z4C51E,Yakima,Yakima,WA,98908,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,14,8045817,POINT (-120.60199 46.59817),PACIFICORP,53077000401
7SAYGDEE2P,Yakima,Wapato,WA,98951,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,241304430,POINT (-120.42083 46.44779),PACIFICORP,53077940007
7SAYGAEE4P,Yakima,Yakima,WA,98908,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,258967600,POINT (-120.60199 46.59817),PACIFICORP,53077000401
JN1AZ0CP9B,King,Sammamish,WA,98075,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,41,136344519,POINT (-122.03539 47.61344),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032207
5UX43EU04R,Kitsap,Poulsbo,WA,98370,2024,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39,0,23,258849454,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090502
WBY43HD03S,Snohomish,Lynnwood,WA,98037,2025,BMW,I4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,21,282095789,POINT (-122.27734 47.83785),PUGET SOUND ENERGY INC,53061051927
5YJXCDE29G,Thurston,Olympia,WA,98512,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,22,349611118,POINT (-122.90787 46.9461),PUGET SOUND ENERGY INC,53067011000
1FTVW1EL5P,Yakima,Yakima,WA,98908,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,263989274,POINT (-120.60199 46.59817),PACIFICORP,53077000402
7SAYGAEE7P,Snohomish,Bothell,WA,98012,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,237982769,POINT (-122.22038 47.8572),PUGET SOUND ENERGY INC,53061052107
5YJ3E1EA1H,Snohomish,Everett,WA,98208,2017,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,44,218980611,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061041701
1G1FW6S02H,Yakima,Yakima,WA,98908,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,14,199249025,POINT (-120.60199 46.59817),PACIFICORP,53077003003
1FADP5CU4G,Kitsap,Seabeck,WA,98380,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,35,477896611,POINT (-122.81585 47.64509),PUGET SOUND ENERGY INC,53035092000
5YJXCAE28H,Thurston,Tumwater,WA,98512,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,22,8042415,POINT (-122.90787 46.9461),PUGET SOUND ENERGY INC,53067010920
5YJ3E1EB7L,King,Sammamish,WA,98029,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,5,2238246,POINT (-122.00292 47.54748),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032222
2C4RC1N7XL,Kitsap,Kingston,WA,98346,2020,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,23,111870517,POINT (-122.4977 47.79802),PUGET SOUND ENERGY INC,53035090102
WVWPP7AU8G,King,Kent,WA,98030,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,83,0,47,9627117,POINT (-122.224 47.37943),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029603
5YJ3E1EA8J,Kitsap,Poulsbo,WA,98370,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,23,264979165,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090202
1G1RA6S5XJ,Kitsap,Kingston,WA,98346,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,23,316676083,POINT (-122.4977 47.79802),PUGET SOUND ENERGY INC,53035090102
